122.34	48.67	20.34	3.00	2.41589e15	0.00	2.41589e14	1.00	
101.88	62.95	19.08	3.00	2.71003e15	0.00	2.71003e14	1.00	
54.41	65.83	63.89	3.00	2.07422e15	0.00	2.07422e14	1.00	
-167.25	8.00	-31.98	3.00	1.65107e15	0.00	1.65107e14	1.00	
39.39	88.39	85.32	3.00	1.44055e15	0.00	1.44055e14	1.00	
117.48	56.16	46.58	3.00	2.93903e15	0.00	2.93903e14	1.00	
43.84	59.89	47.34	3.00	3.01011e15	0.00	3.01011e14	1.00	
38.50	20.56	40.55	3.00	2.14349e15	0.00	2.14349e14	1.00	
15.04	21.89	36.90	3.00	1.90761e15	0.00	1.90761e14	1.00	
43.14	92.17	86.86	3.00	1.42381e15	0.00	1.42381e14	1.00	
90.14	71.03	43.92	3.00	2.08591e15	0.00	2.08591e14	1.00	
121.17	79.22	15.17	3.00	1.62243e15	0.00	1.62243e14	1.00	
35.91	64.40	74.33	3.00	1.88916e15	0.00	1.88916e14	1.00	
114.39	60.14	32.68	3.00	2.71228e15	0.00	2.71228e14	1.00	
38.57	61.95	63.60	3.00	2.41356e15	0.00	2.41356e14	1.00	
140.13	78.81	9.94	3.00	1.54273e15	0.00	1.54273e14	1.00	
76.28	68.60	54.74	3.00	2.47331e15	0.00	2.47331e14	1.00	
108.79	67.61	42.55	3.00	2.58463e15	0.00	2.58463e14	1.00	
85.16	54.78	50.55	3.00	2.82474e15	0.00	2.82474e14	1.00	
126.56	36.94	18.39	3.00	2.61987e15	0.00	2.61987e14	1.00	
51.92	70.32	65.99	3.00	2.27707e15	0.00	2.27707e14	1.00	
91.67	38.46	78.79	3.00	3.4992e15	0.00	3.4992e14	1.00	
62.91	59.53	53.20	3.00	2.6921e15	0.00	2.6921e14	1.00	
87.26	64.15	52.42	3.00	2.81059e15	0.00	2.81059e14	1.00	
10.36	69.82	75.08	3.00	1.98625e15	0.00	1.98625e14	1.00	
44.72	61.43	63.27	3.00	2.52445e15	0.00	2.52445e14	1.00	
131.46	84.76	0.49	3.00	1.41695e15	0.00	1.41695e14	1.00	
